"Instruction","Response","Category"
"উইকিপিডিয়ার খেলাঘর কী?","উইকিপিডিয়ার খেলাঘর হল একটি স্থান যেখানে অবদানকারীরা পরীক্ষা-নিরীক্ষা করতে পারে এবং নতুন ধারণা পরীক্ষা করতে পারে।","Factual"
"উইকিপিডিয়ার উদ্দেশ্য কী?","উইকিপিডিয়ার উদ্দেশ্য হল বিশ্বব্যাপী মানুষের জন্য বিনামূল্যে জ্ঞান প্রদান করা।","Reasoning"
"উইকিপিডিয়া কীভাবে তথ্য সংরক্ষণ করে?","উইকিপিডিয়া তথ্য সংরক্ষণ করে যাচাইযোগ্যতা এবং নিরপেক্ষ দৃষ্টিভঙ্গি বজায় রাখার মাধ্যমে।","Causal"
"উইকিপিডিয়ায় সবচেয়ে বেশি নিবন্ধ কোন ভাষায় রয়েছে?","উইকিপিডিয়ায় সবচেয়ে বেশি নিবন্ধ ইংরেজি ভাষায় রয়েছে।","Factual"
"উইকিপিডিয়ায় কেন এত বেশি ভাষার সংস্করণ রয়েছে?","উইকিপিডিয়ায় এত বেশি ভাষার সংস্করণ রয়েছে কারণ এটি বিশ্বব্যাপী তথ্য ভাগাভাগি করার একটি বড় প্ল্যাটফর্ম এবং বিভিন্ন ভাষার মানুষ তাদের নিজস্ব ভাষায় তথ্য প্রকাশ করতে চায়।","Causal"
"উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণ থাকার কী সুবিধা রয়েছে?","উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণ থাকার সুবিধা হল যে বিভিন্ন ভাষার মানুষ তাদের নিজস্ব ভাষায় তথ্য প্রকাশ করতে পারে এবং তথ্য অ্যাক্সেস করতে পারে, যা তথ্যের বিস্তার এবং শিক্ষার জন্য সাহায্য করে।","Reasoning"
"উইকিপিডিয়ায় কতগুলি ভাষার সংস্করণ রয়েছে?","উইকিপিডিয়ায় অনেক ভাষার সংস্করণ রয়েছে, কিন্তু সঠিক সংখ্যা জানা যায় না।","Factual"
"উইকিপিডিয়ায় কেন দক্ষিণ এশীয় ভাষাগুলির সংস্করণ রয়েছে?","উইকিপিডিয়ায় দক্ষিণ এশীয় ভাষাগুলির সংস্করণ রয়েছে কারণ এই অঞ্চলের মানুষদের তাদের নিজস্ব ভাষায় তথ্য প্রকাশ করার এবং অ্যাক্সেস করার প্রয়োজন রয়েছে।","Causal"
"উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণ থাকার কী চ্যালেঞ্জ রয়েছে?","উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণ থাকার চ্যালেঞ্জ হল তথ্যের গুণমান নিশ্চিত করা, ভাষাগত বৈচিত্র্য বজায় রাখা এবং সম্প্রদায়ের সক্রিয়তা বজায় রাখা।","Reasoning"
"উইকিপিডিয়ায় কোন ভাষার সংস্করণে সবচেয়ে কম নিবন্ধ রয়েছে?","উইকিপিডিয়ায় সবচেয়ে কম নিবন্ধ রয়েছে এমন ভাষার সংস্করণ জানা যায় না।","Factual"
"উইকিপিডিয়ায় কেন নিবন্ধের সংখ্যা ভাষার উপর নির্ভর করে?","উইকিপিডিয়ায় নিবন্ধের সংখ্যা ভাষার উপর নির্ভর করে কারণ বিভিন্ন ভাষার সম্প্রদায়ের আকার এবং সক্রিয়তা ভিন্ন হয়।","Causal"
"উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণের গুরুত্ব কী?","উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণের গুরুত্ব হল তথ্যের বিস্তার, শিক্ষা এবং সাংস্কৃতিক বৈচিত্র্য বজায় রাখা।","Reasoning"
"উইকিপিডিয়ায় কোন ভাষার সংস্করণ সবচেয়ে দ্রুত বৃদ্ধি পাচ্ছে?","উইকিপিডিয়ায় সবচেয়ে দ্রুত বৃদ্ধি পাচ্ছে এমন ভাষার সংস্করণ জানা যায় না।","Factual"
"উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণের ভবিষ্যত কী?","উইকিপিডিয়ায় বিভিন্ন ভাষার সংস্করণের ভবিষ্যত হল তথ্যের বিস্তার, শিক্ষা এবং সাংস্কৃতিক বৈচিত্র্য বজায় রাখা, এবং নতুন প্রযুক্তি এবং সামাজিক পরিবর্তনের সাথে খাপ খাইয়ে নেওয়া।","Reasoning"
